baseline,,orange_1,,blue_1,,green_1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
600,-0.02551571093,600,-0.004876665771,600,1.416021585,600,0.1313676983,
599,-0.02550746128,599,-0.004761720542,599,1.375842452,599,0.1287207007,
598,-0.02542778105,598,-0.004595725331,598,1.330103993,598,0.1260670722,
597,-0.02531605028,597,-0.004409936722,597,1.27930057,597,0.123260878,
596,-0.02521430328,596,-0.004180896562,596,1.225341082,596,0.1204258054,
595,-0.02507876791,595,-0.003906791564,595,1.168563843,595,0.1174676195,
594,-0.025035372,594,-0.003711621976,594,1.11001873,594,0.1143376529,
593,-0.02492803521,593,-0.003363301745,593,1.051260829,593,0.1111503318,
592,-0.02478258125,592,-0.003028994659,592,0.9931729436,592,0.1078968868,
591,-0.0246769432,591,-0.002745312871,591,0.9361618757,591,0.1045000628,
590,-0.02459148504,590,-0.002313056728,590,0.881373167,590,0.1010273695,
589,-0.02440598421,589,-0.001903720899,589,0.8292400241,589,0.09756172448,
588,-0.02432928234,588,-0.001503646723,588,0.7800437808,588,0.09402950853,
587,-0.02420512401,587,-0.001010550535,587,0.7349931598,587,0.09044723213,
586,-0.02410301939,586,-0.0005124468007,586,0.6933051944,586,0.08686350286,
585,-0.02400809154,585,-2.526397111E-005,585,0.6559515595,585,0.08333798498,
584,-0.0239123106,584,0.0006323884591,584,0.6225365996,584,0.0797662288,
583,-0.02379469946,583,0.001329984516,583,0.5938076973,583,0.07627501339,
582,-0.0236563161,582,0.002020718995,582,0.5692446828,582,0.07279525697,
581,-0.02356394008,581,0.002722087316,581,0.5489828587,581,0.0694757998,
580,-0.02351102419,580,0.003630052321,580,0.5329079032,580,0.06618142873,
579,-0.02334282175,579,0.004564378411,579,0.5211368799,579,0.06306430697,
578,-0.0232853163,578,0.005516107194,578,0.5132443905,578,0.05997293442,
577,-0.02322554588,577,0.00661887601,577,0.5091825128,577,0.05703584105,
576,-0.02306955308,576,0.007868218236,576,0.5087596178,576,0.05426587164,
575,-0.02296045423,575,0.009214067832,575,0.5117035508,575,0.05157504603,
574,-0.02283978462,574,0.01065368019,574,0.5176850557,574,0.04912963882,
573,-0.02285078727,573,0.01228026114,573,0.526342392,573,0.0466828458,
572,-0.02274747938,572,0.01400980446,572,0.5373474956,572,0.04448480159,
571,-0.02265834808,571,0.01603190042,571,0.5502192974,571,0.04235689342,
570,-0.02254427783,570,0.01810930483,570,0.5643785,570,0.04040294141,
569,-0.02240456268,569,0.02057477832,569,0.5793014169,569,0.03865644708,
568,-0.0222849194,568,0.02326880209,568,0.5947370529,568,0.03692883998,
567,-0.02226229385,567,0.02615393884,567,0.609774828,567,0.0352451615,
566,-0.02222407609,566,0.02935688756,566,0.6237767935,566,0.03374930099,
565,-0.02211997844,565,0.03286227584,565,0.6362740397,565,0.03232979402,
564,-0.02205999941,564,0.0366913192,564,0.6466788054,564,0.03098064847,
563,-0.02199459635,563,0.04098522291,563,0.6546013355,563,0.0296937488,
562,-0.02198120952,562,0.04567027465,562,0.6596657634,562,0.02847474255,
561,-0.02187055722,561,0.05084498599,561,0.6613177061,561,0.02729112469,
560,-0.02179577015,560,0.0565787442,560,0.6595736742,560,0.0261225421,
559,-0.02180049755,559,0.06289681047,559,0.6542688608,559,0.02507179789,
558,-0.02172062732,558,0.06977061182,558,0.6452672482,558,0.02396211959,
557,-0.0216749236,557,0.07738025486,557,0.6329931617,557,0.02295910008,
556,-0.02154783718,556,0.08564591408,556,0.6174079776,556,0.02191284113,
555,-0.02151152678,555,0.09484112263,555,0.5986449122,555,0.02086485922,
554,-0.02148600295,554,0.1048588902,554,0.5774644613,554,0.01981975324,
553,-0.02138867788,553,0.1157244444,553,0.5544058681,553,0.01880840212,
552,-0.02136078291,552,0.1277006269,552,0.5293519497,552,0.0177465193,
551,-0.02122418769,551,0.1406261474,551,0.5034070611,551,0.01674269699,
550,-0.02120988816,550,0.1547925621,550,0.4765318632,550,0.01579385623,
549,-0.02116556279,549,0.1700080037,549,0.4495525956,549,0.01481992379,
548,-0.02106614411,548,0.1864820719,548,0.4229609668,548,0.0138812298,
547,-0.02095806785,547,0.2043531388,547,0.3967097998,547,0.01290218532,
546,-0.02095022425,546,0.2233753204,546,0.371414721,546,0.0120491609,
545,-0.02090804279,545,0.2438201159,545,0.3472741842,545,0.01096388698,
544,-0.02083565667,544,0.2656460106,544,0.3245420158,544,0.01003030315,
543,-0.02074899524,543,0.288687259,543,0.3033981919,543,0.009165525436,
542,-0.02070684172,542,0.313154608,542,0.2840328515,542,0.008312387392,
541,-0.02070580609,541,0.338832587,541,0.2663909495,541,0.007492023986,
540,-0.0206262283,540,0.3655146062,540,0.2505721748,540,0.006708643865,
539,-0.02061832882,539,0.3937146366,539,0.2362730056,539,0.005917252973,
538,-0.02057710104,538,0.4225976169,538,0.223781094,538,0.005171309225,
537,-0.02051468566,537,0.4523788989,537,0.2128536254,537,0.004445238039,
536,-0.02051542513,536,0.4825280607,536,0.2035931796,536,0.003829187481,
535,-0.02043136768,535,0.5130711794,535,0.1957330555,535,0.003155024489,
534,-0.02037881128,534,0.5436871052,534,0.1891368032,534,0.002559782006,
533,-0.02032896504,533,0.5738593936,533,0.1836744249,533,0.002003736794,
532,-0.02028469555,532,0.6030332446,532,0.1793133169,532,0.001436845167,
531,-0.02026028745,531,0.6312160492,531,0.1758122295,531,0.0009262291715,
530,-0.02019609511,530,0.6575630903,530,0.1730132997,530,0.0004332883109,
529,-0.02015601471,529,0.6818301678,529,0.1707592309,529,3.914134868E-005,
528,-0.02014004998,528,0.703314662,528,0.1688446999,528,-0.0004346666683,
527,-0.02012655698,527,0.7212836742,527,0.1672052145,527,-0.0008537596441,
526,-0.02001795173,526,0.7359575033,526,0.1655826122,526,-0.001210964168,
525,-0.0199832432,525,0.7463377118,525,0.1638538092,525,-0.001544196857,
524,-0.0199680645,524,0.7524082065,524,0.1618584394,524,-0.001881452627,
523,-0.01995886676,523,0.7537255287,523,0.159676522,523,-0.00220160326,
522,-0.01990625262,522,0.7505885363,522,0.1568929702,522,-0.002541746013,
521,-0.01986975409,521,0.74273175,521,0.1536647528,521,-0.002784152515,
520,-0.01975910552,520,0.7306897044,520,0.1499742419,520,-0.003095722524,
519,-0.01971992478,519,0.7150161862,519,0.1456634551,519,-0.003334840527,
518,-0.01969132759,518,0.6959732771,518,0.1408802569,518,-0.003567870473,
517,-0.01961290091,517,0.6745949388,517,0.1355986744,517,-0.00379569456,
516,-0.01956979558,516,0.651322782,516,0.1298256218,516,-0.004066536203,
515,-0.01951960847,515,0.6274213791,515,0.1237899885,515,-0.00424267957,
514,-0.01945194229,514,0.6034194827,514,0.117481932,514,-0.004447603133,
